book_id,title,price_gbp,price_inr,rating,in_stock,category_name
1,It's Only the Himalayas,45.17,4765.44,2,1,Travel
2,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,5214.86,4,1,Travel
3,See America: A Celebration of Our National Parks & Treasured Sites,48.87,5155.78,3,1,Travel
4,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,3897.17,2,1,Travel
5,Under the Tuscan Sun,37.33,3938.31,3,1,Travel
6,A Summer In Europe,44.34,4677.87,2,1,Travel
7,The Great Railway Bazaar,30.54,3221.97,1,1,Travel
8,A Year in Provence (Provence #1),56.88,6000.84,4,1,Travel
9,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,2448.66,1,1,Travel
10,Neither Here nor There: Travels in Europe,38.95,4109.23,3,1,Travel
11,"1,000 Places to See Before You Die",26.08,2751.44,5,1,Travel
12,Sharp Objects,47.82,5045.01,4,1,Mystery
13,"In a Dark, Dark Wood",19.63,2070.96,1,1,Mystery
14,The Past Never Ends,56.5,5960.75,4,1,Mystery
15,A Murder in Time,16.64,1755.52,1,1,Mystery
16,The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4652.55,4,1,Mystery
17,The Last Mile (Amos Decker #2),54.21,5719.16,2,1,Mystery
18,That Darkness (Gardiner and Renner #1),13.92,1468.56,1,1,Mystery
19,Tastes Like Fear (DI Marnie Rome #3),10.69,1127.79,1,1,Mystery
20,A Time of Torment (Charlie Parker #14),48.35,5100.92,5,1,Mystery
21,A Study in Scarlet (Sherlock Holmes #1),16.73,1765.02,2,1,Mystery
22,Poisonous (Max Revere Novels #3),26.8,2827.4,3,1,Mystery
23,Murder at the 42nd Street Library (Raymond Ambler #1),54.36,5734.98,4,1,Mystery
24,Most Wanted,35.28,3722.04,3,1,Mystery
25,Hide Away (Eve Duncan #20),11.84,1249.12,1,1,Mystery
26,Boar Island (Anna Pigeon #19),59.48,6275.14,3,1,Mystery
27,The Widow,27.26,2875.93,2,1,Mystery
28,Playing with Fire,13.71,1446.41,3,1,Mystery
29,What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,2676.54,5,1,Mystery
30,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5517.65,5,1,Mystery
31,Delivering the Truth (Quaker Midwife Mystery #1),20.89,2203.9,4,1,Mystery
32,Tipping the Velvet,53.74,5669.57,1,1,Historical Fiction
33,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3132.3,3,1,Historical Fiction
34,A Flight of Arrows (The Pathfinders #2),55.53,5858.42,5,1,Historical Fiction
35,The House by the Lake,36.95,3898.23,1,1,Historical Fiction
36,Mrs. Houdini,30.25,3191.38,5,1,Historical Fiction
37,The Marriage of Opposites,28.08,2962.44,4,1,Historical Fiction
38,Glory over Everything: Beyond The Kitchen House,45.84,4836.12,3,1,Historical Fiction
39,"Love, Lies and Spies",20.55,2168.02,2,1,Historical Fiction
40,A Paris Apartment,39.01,4115.55,4,1,Historical Fiction
41,Lilac Girls,17.28,1823.04,2,1,Historical Fiction
42,The Constant Princess (The Tudor Court #1),16.62,1753.41,3,1,Historical Fiction
43,The Invention of Wings,37.34,3939.37,1,1,Historical Fiction
44,World Without End (The Pillars of the Earth #2),32.97,3478.34,4,1,Historical Fiction
45,The Passion of Dolssa,28.32,2987.76,5,1,Historical Fiction
46,Girl With a Pearl Earring,26.77,2824.24,1,1,Historical Fiction
47,Voyager (Outlander #3),21.07,2222.89,5,1,Historical Fiction
48,The Red Tent,35.66,3762.13,5,1,Historical Fiction
49,The Last Painting of Sara de Vos,55.55,5860.52,2,1,Historical Fiction
50,The Guernsey Literary and Potato Peel Pie Society,49.53,5225.42,1,1,Historical Fiction
51,Girl in the Blue Coat,46.83,4940.56,2,1,Historical Fiction
52,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5516.6,5,1,Sequential Art
53,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1717.54,1,1,Sequential Art
54,This One Summer,19.49,2056.19,4,1,Sequential Art
55,The Nameless City (The Nameless City #1),38.16,4025.88,4,1,Sequential Art
56,"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,5384.72,2,1,Sequential Art
57,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,5317.2,3,1,Sequential Art
58,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,1435.86,5,1,Sequential Art
